,date,party,name,chamber,state,end
0,2000-12-15,r,john hoeven,governor,ND,2012
1,2000-12-21,r,rick perry,governor,ND,2015
2,2000-12-21,r,rick perry,governor,TX,2014
3,2002-12-02,r,linda lingle,governor,HI,2010
4,2003-01-01,d,bill richardson,governor,NM,2010
5,2003-01-01,d,jennifer granholm,governor,MI,2010
6,2003-01-06,d,dave freudenthal,governor,WY,2010
7,2003-01-06,r,tim pawlenty,governor,MN,2010
8,2003-01-06,d,jim doyle,governor,WI,2010
9,2003-01-07,r,mike rounds,governor,SD,2010
10,2003-01-07,r,donald carcieri,governor,RI,2010
11,2003-01-07,r,mike rounds,governor,TX,2011
12,2003-01-08,d,john baldacci,governor,HI,2011
13,2003-01-08,d,john baldacci,governor,ME,2010
14,2003-01-09,r,jim douglas,governor,NM,2011
15,2003-01-09,r,jim douglas,governor,VT,2010
16,2003-01-13,d,brad henry,governor,MI,2011
17,2003-01-13,r,sonny perdue,governor,WY,2011
18,2003-01-13,d,ted kulongoski,governor,MN,2011
19,2003-01-13,d,ted kulongoski,governor,OR,2010
20,2003-01-13,r,sonny perdue,governor,GA,2010
21,2003-01-13,d,brad henry,governor,OK,2010
22,2003-01-15,r,mark sanford,governor,WI,2011
23,2003-01-15,r,mark sanford,governor,SC,2010
24,2003-01-18,d,phil bredesen,governor,SD,2011
25,2003-01-18,d,phil bredesen,governor,TN,2010
26,2003-01-20,r,bob riley,governor,RI,2011
27,2003-01-20,r,bob riley,governor,AL,2010
28,2003-01-21,d,ed rendell,governor,ME,2011
29,2003-01-21,d,ed rendell,governor,PA,2010
30,2003-11-17,r,arnold schwarzenegger,governor,CA,2010
31,2004-01-13,r,haley barbour,governor,TX,2012
32,2004-01-13,r,haley barbour,governor,MS,2011
33,2004-07-01,r,jodi rell,governor,CT,2010
34,2004-07-01,r,jodi rell,governor,OR,2011
35,2005-01-03,d,brian schweitzer,governor,MT,2012
36,2005-01-03,d,brian schweitzer,governor,TX,2013
37,2005-01-06,d,john lynch,governor,HI,2013
38,2005-01-06,d,john lynch,governor,NH,2012
39,2005-01-10,r,mitch daniels,governor,TX,2013
40,2005-01-10,r,mitch daniels,governor,IN,2012
